rom GENESYM to affyhg
LXR	C19orf46
Staf	HEXIM2
MEF-2	MIR139
LEF1	SLC43A3
STAT4	SMEK2
ETS2	MIR874
CTCF	SATL1
FXR	MIR543
STAT1:STAT1	GNG12
PU.1	MKRN7P
Nrf-1	SH3GL1
TEF-1	PAK1IP1
NF-kappaB	ASH1L
c-Myb	PGAM2
NURR1	RAD54B
TEF-1	ZNF771
SOX4	ABTB2
LBP-1	HIST1H2AM
TEF-1	ZNF772
SOX10	CDK5R1
FXR	MIR549
GABP	TAF1A
NFE2L2	ARAP3
TEF-1	ZNF774
LBP-1	EPHB2
Oct-1	NR6A1
GABP	TAF1C
GLI2	NAV3
TEF-1	ZNF775
TEF-1	KIAA0895
AP-1	PQLC2
SOX10	H6PD
HNF4	OXT
LRF	SNF8
HMGIY	OR9A2
TEF-1	TADA3
IRF8	TSEN15
NURR1	RAD54L
STAT3	SH3PXD2A
HNF4	PLCG1
SOX10	GXYLT1
HNF4	PLCG2
SOX10	CILP
NUR77	SPRY4
GABP	DUSP6
NFAT2	NUCKS1
ETS2	ZADH2
alpha-CP1	RPUSD2
ETS2	CNTF
LBP-1	CAPRIN1
NeuroD	TMEM170B
LBP-1	CAPRIN2
YY1	ACSF2
PU.1	UBN1
REL	VRTN
GR	LOC100130172
STAT6	TMEM22
PU.1	UBN2
ETS2	TXLNA
SOX10	EFCAB11
CREB	TXNDC16
STAT4	MIR3141
Nrf-1	C3orf75
LRF	PODXL
GR	MAP3K5
SOX10	MGC2752
YY1	LARP6
USF1	MIR20A
STAT4	TNFRSF19
PUR1	HVCN1
LBP-1	ZFP57
GABP	XPO6
USF1	MIR20B
YY1	LARP7
GR	MAP3K7
USF	KLHL12
STAT6	TMEM26
PU.1	ETNK1
Myc	CTBP2
NeuroD	RXRB
PU.1	AOC4
E2A	MGRN1
NeuroD	SDCCAG8
HNF4	ERI3
PXR(PXR:RXR)	KRTAP12-4
GABP	ADO
NURR1	GPM6B
MAFA	MIR3152
NeuroD	RXRG
CREB	C6orf170
NFKB1	ING2
YY1	ZNF454
NURR1	DLEU1
NURR1	PDE11A
NFAT2	PPP1R14B
CHX10	RPLP0P2
MAFA	MIR3155
IPF1	SALL4
NURR1	ROM1
ESR1	LDB1
ETS2	EDEM1
LBP-1	S100PBP
TEF-1	EDN1
ETS2	EDEM2
Tal-1alpha:E47	COMTD1
TEF-1	EDN2
NURR1	DYRK1A
SOX10	ING1
PU.1	B4GALT2
NRSE	GTPBP3
HNF4	PLXDC1
NURR1	DLEU7
NeuroD	SORBS1
PU.1	SLITRK2
YY1	EGLN2
LBP-1	PAR1
NeuroD	SORBS2
STAT3	ANP32B
PU.1	B4GALT5
Nrf-1	SRP68
YY1	EGLN3
SOX10	ING4
NeuroD	SORBS3
PU.1	SLITRK4
HNF4	LOC100506144
STAT3	ANP32C
STAT6	CNTROB
PU.1	SLITRK5
LBP-1	HABP2
PUR1	CD226
PU.1	STK24
STAT3	ANP32E
Barhl-1	SMARCA2
PU.1	ACVR2A
NeuroD	CRKL
MAFA	SNORD35A
ETS2	C14orf162
TEF-1	LMX1A
TEF-1	SON
PU.1	MT4
SOX10	MYCL1
NFE2L2	EPB41
ATF	SNRPG
Elk-1	MAD2L1BP
HNF4	CWC25
FXR	GDI1
ETS2	C14orf166
GR	SPTB
FXR	INMT
FXR	GDI2
NF-E2	SCEL
HNF4	PSMD2
HNF4	PSMD3
ETS2	ZNF420
ETS2	C14orf169
HNF4	PSMD4
AP-1	COL7A1
E2A	PVRL2
GABP	XPOT
NFAT2	EHF
REL	THPO
HNF4	PSMD7
ETS2	ZNF423
E2A	PVRL4
HNF4	PSMD8
c-Ets-1(p54)	WIBG
HEB	MAN1C1
GABP	EXOSC3
AP-2rep	LOC389765
TEF-1	PDE4DIP
REST	VSTM2L
GABP	NOSIP
HNF4	NDUFAB1
GABP	EXOSC4
GABP-alpha	TFB1M
SOX10	FAM84A
ATF3	KIAA0494
NeuroD	SERPINH1
GR	C9orf114
AP-1	HARS
YY1	CDAN1
TEF-1	ATP10A
LMAF	PRICKLE1
SOX10	C1orf182
STAT4	NUP205
TEF-1	ATP10B
SOX10	C1orf183
MEIS1B:HOXA9	NRG1
TEF-1	ATP10D
ETS2	GTF2I
SOX10	SYPL2
SOX10	C1orf187
TEF-1	MSMB
NF-Y	SH3BGR
PUR1	SLFN5
NURR1	CRLS1
alpha-CP1	HDAC1
TCF4	FOXQ1
SOX10	MIRLET7C
ATF	HCST
FXR	MARCKS
USF1	UTP20
HMGIY	MZT1
IRF8	TCHH
ETS2	C18orf10
PXR(PXR:RXR)	CDNF
MAFA	MTCP1NB
Lyf-1	MLLT10
YY1	ESCO1
MAFA	KRTAP17-1
SOX10	MIRLET7I
STAT6	NRF1
STAT5A(homodimer)	GLRA2
ATF3	SLAIN2
AP-1	MAP3K1
ETS2	MIF
Esx1	LOC100130155
PU.1	TBC1D10C
STAT4	TOMM5
PU.1	BFSP1
TEF-1	IGFL1
STAT6	INA
TEF-1	MSMP
HNF4	RNLS
AP-2rep	PEG3
NeuroD	ZNF507
ETS2	C18orf18
STAT4	TOMM7
STAT4	RNF32
TEF-1	IGFL4
LBP-1	TDRD7
STAT6	ALAS1
LBP-1	SNORD10
STAT4	RNF34
STAT4	CD96
TEF-1	SNORD116-2
STAT3	GRAMD3
LBP-1	SNORD12
FXR	CYP2S1
E2A	APLP1
TEF-1	SNORD116-3
MEIS1	RECQL4
NFAT2	C18orf16
STAT6	FLJ43826
TEF-1	SNORD116-4
Nrf-1	KIF26A
TEF-1	SNORD116-5
ETS2	MIP
HMGIY	DYNC2LI1
TEF-1	TMEM171
GR	TAAR2
TEF-1	SNORD116-6
HNF4	NLGN1
HNF4	NLGN2
TEF-1	SNORD116-7
CREB	TDG
STAT6	ACO1
TEF-1	TMEM173
YY1	LOC550112
YY1	RNU5D
SOX10	QSOX1
TEF-1	SNORD116-8
HNF4	LOC400794
TEF-1	TMEM174
YY1	RNU5E
TEF-1	SNORD116-9
YY1	IL1F5
LBP-1	HIST1H2BB
SOX4	ZFHX3
LBP-1	HIST1H2BC
LBP-1	SNORD19
YY1	IL1F7
TEF-1	TMEM178
PUR1	C2orf65
Elk-1	NUDT12
LBP-1	HIST1H2BF
YY1	FLJ31662
HNF4	PDHB
AP-1	LOC158376
LBP-1	KAZN
MAFA	WDR63
Lyf-1	KIAA0087
ETS2	HNMT
FXR	MID1
LBP-1	HIST1H2BG
PXR(PXR:RXR)	OR2T35
MyoD	ITGA2
GR	SIRT7
SF1	AOC2
PUR1	LAG3
MAFA	WDR65
ETS2	MIR885
PU.1	LOC284215
LBP-1	ZACN
HSF2	GRID2
LBP-1	SNORD1A
MAFA	WDR67
FRA1	USH2A
LBP-1	SNORD1B
YY1	PYHIN1
STAT1:STAT1	ETV7
MyoD	ITGA6
ETS2	MIR889
GR	MBNL3
NeuroD	PANK3
FXR	MIR558
Nrf-1	DHODH
NFAT2	SH3BGRL2
TEF-1	ZNF783
NeuroD	PANK4
LBP-1	HIST1H2BO
NF-kappaB	JAK1
c-Ets-1	MADD
MAFA	CGREF1
TEF-1	NUP62
ERR2(ESRRB)	CHMP2A
STAT3	TNRC6A
NeuroD	TREX1
NF-kappaB(p50)	IL6ST
ATF	PPP1R15A
TEF-1	TNFRSF11A
NeuroD	TREX2
Lyf-1	PMEL
TEF-1	TNFRSF11B
HNF-4	C9orf25
STAT4	TNFRSF21
HNF4	PLCH1
YY1	NR2C2AP
FXR	LDB1
HNF4	PLCH2
NeuroD	FCHSD1
NFE2L2	CCDC159
NeuroD	FCHSD2
MEIS1	BCMO1
RFX1	TTC12
SOX10	OSBP
RORA_1	PCOLCE
LBP-1	ZFP62
TEF-1	SP1
CTCF	RAP2C
TR4	SLC26A3
SOX10	PPP3CB
STAT3	NPHP4
NFAT2	ZMYM4
TEF-1	RSF1
LBP-1	MYRIP
USF	C19orf10
HNF4	PDHX
SF1	MAL
Myc	SLC26A2
E2A	RRM2B
REST	CTXN2
STAT4	MIR3151
RFX1	TTC16
PU.1	CDKN2B-AS1
TEF-1	SP4
MAFA	PLCD1
YY1	GHRH
STAT4	MIR3152
NURR1	DSE
MAFA	PLCD3
Arnt	DDX42
GR	FAM192A
alpha-CP1	FLJ43390
SF1	LOC100506012
HEB	KIAA0240
NeuroD	NLGN4X
STAT6	TMEM37
SF1	MDGA2
SOX10	PDE6H
TEF-1	SP8
YY1	ZNF460
NeuroD	TIE1
c-Myb	FAM107A
YY1	TMEM63A
YY1	GHRL
TEF-1	SP9
FXR	MIDN
COUPdirectrepeat1	POLRMT
SOX10	PEPD
SOX10	ACCN1
YY1	TMEM63B
COUP	APP
E47	HMP19
YY1	ZNF462
NFAT2	SERF2
USF	KLHL28
YY1	FAM149A
Bach1	PDE4A
SOX4	LIPG
YY1	SRGN
LRF	DCUN1D3
NURR1	GLRA4
SOX4	YES1
AP-2rep	CXorf23
PXR(PXR:RXR)	SOX6
SOX4	LIPJ
YY1	ZNF469
LEF1	EXOC6
NF-kappaB(p65)	RC3H2
MAFA	MIR3169
TAL1	FOXP1
SOX4	LIPN
TAL1	FOXP2
SOX4	CHMP2A
GABP-alpha	AHSA1
YY1	GRAMD1B
NeuroD	OR4S2
STAT4	MIR1289-2
MAFA	RBKS
PUR1	CYMP
TAL1	FOXP4
GLI3	MGC34034
YY1	GRPEL2
PU.1	STK33
YY1	SP100
Arnt	BHLHE41
LRF	NAT14
NeuroD	PNO1
STAT1:STAT1	CD40
NeuroD	SDC1
SOX10	CD2BP2
NeuroD	SDC2
PXR(PXR:RXR)	MFAP3L
STAT6	PLA2G4A
ATF3	DLX6
MIF-1	ZC4H2
NF-Y	RPN2
NeuroD	SDC3
MAFA	SNORD36A
PUR1	ZCCHC2
MAFA	SNORD36B
AP-1	EPDR1
TEF-1	SPN
STAT6	PLA2G4D
HNF4	PGCP1
STAT5A	RHOA
MAFA	SNORD36C
Nrf-1	RNF5P1
HNF4	PSME1
ETS2	C14orf176
LM4_M2	INCENP
NFAT2	CMA1
HNF4	PSME2
LBP-1	MEA1
NeuroD	LIMCH1
HNF4	PSME3
ETS2	C14orf178
AP-4	CMAS
PUR1	OPN3
ETS2	C14orf179
PUR1	ZCCHC8
YY1	PC
PUR1	OPN4
HNF4	PSME4
PU.1	NKG7
TCF-4	GLIS1
USF1	ESRP1
HNF4	LYZL1
PPAR	PLVAP
USF1	ESRP2
YY1	PCA3
E2F	SNX12
ETS2	ZNF434
MAFA	PSMA1
LBP-1	XPR1
MAFA	PSMA2
MAFA	PSMA3
EBF	MS4A1
NeuroD	NFKBIE
USF1	WNT3
NURR1	PIPOX
MAFA	PSMA4
TEF-1	REV3L
GABP-alpha	TFB2M
GLI1	ACCN4
Nrf-1	DDX39A
YY1	HIGD1B
LBP-1	CCPG1
YY1	TNFSF11
ETS2	GTF3A
NeuroD	PNOC
ETS2	ZNF438
YY1	HIGD1C
MAFA	PSMA7
YY1	TNFSF13
NeuroD	SERPINI1
GABP-alpha	PEX12
E2A	SIPA1
SOX10	PIK3C2A
SOX10	C1orf192
YY1	TNFSF15
c-Myc:Max	RNF138
HEB	PHLDA1
RFX1	NOS1
NURR1	PATE1
ATF2	FRAT1
SOX10	PIK3C2B
Myc	PTGES3
ATF2	FRAT2
TEF-1	ATP11C
SOX10	C1orf194
NURR1	PATE3
ETS2	ISPD
YY1	TNFSF18
GR	CYP26C1
deltaEF1	TRIM39-RPP21
HMGIY	BOD1
HNF4	CALB2
SOX10	PIK3C2G
SOX10	C1orf198
SOX4	CHD1
STAT6	ZC3H8
STAT6	SCN4A
NeuroD	LOC100128508
STAT6	SCN4B
AP-2rep	PRKAB1
NFAT2	PID1
E2A	FGF1
RELA	FLJ16341
c-Ets-1	E2F5
NeuroD	ZNF510
PPARdirectrepeat1	C9orf25
SOX10	SNORD49A
Ets	ENO3
STAT6	NRG1
SOX10	SNORD49B
NeuroD	NFKBIZ
HNF4	FDXR
ATF2:c-Jun	ARL4D
AP-2rep	LTA4H
STAT6	NRG3
NeuroD	ZNF513
HNF4	ITPRIP
PU.1	LOC285740
ETS2	MBTPS1
NeuroD	ZNF516
YY1	SCNN1A
NURR1	COPB1
NERF1a	CPXM1
HNF4	RNMT
Myc	LOC652276
STAT4	RNF41
LEF1	EGFLAM
NURR1	COPB2
MAFA	CYB561
FXR	SP140L
YY1	SCNN1D
YY1	IVNS1ABP
LBP-1	SNORD20
SOX10	PRX
PUR1	COL16A1
YY1	SCNN1G
AP-2rep	DAPP1
AP-4	KCNQ4
LBP-1	SNORD23
TEF-1	TMEM180
AP-4	KCNQ5
Elk-1	RGL2
Lyf-1	MARCH3
TEF-1	TMEM181
LBP-1	SNORD24
SMAD	BHLHA9
HNF4	CHFR
TEF-1	TMEM182
RORA_1	FAM5B
HEB	MIR549
E12	CORO2B
E2A	C1orf151
RORalpha	LRRC20
PUR1	C2orf70
HMGIY	PPID
TEF-1	PRHOXNB
POU5F1	CADM2
TAL1::TCF3	PCBP4
ETS2	UBE2V1
TEF-1	TMEM186
STAT4	LCMT2
NeuroD	SRXN1
Elk-1	NUDT21
STAT3	RTKN
TEF-1	TMEM188
Elk-1	NUDT22
AP-2rep	NCAPH2
TEF-1	TMEM189
SOX	DUSP4
PUR1	C2orf76
MAF	PRDM1
MAFA	WDR73
MAFA	DAG1
SOX4	LOC100289230
PU.1	MIR9-3
FXR	CNKSR3
TEF-1	OR2W5
YY1	FLJ42969
MyoD	ITGB4
SMAD	LCTL
alpha-CP1	DAXX
SF1	AIFM3
FXR	MIR567
AP-4	DRD5
HNF4	HSDL1
FXR	CDKL5
TEF-1	ZNF793
FXR	MIR569
YY1	TFB1M
c-Rel	GPR21
Arnt	CLCN4
AP-2rep	RTN4R
HMGIY	NFE2
Lyf-1	LRP6
Nrf-1	MAP4K1
NURR1	TRIP4
AP-2rep	VPS37A
c-Myc	FKBP11
NURR1	SFT2D1
Lyf-1	CISD2
TEF-1	BOD1P
SOX4	CYFIP1
AP-2rep	VPS37C
YY1	IL9R
TEF-1	MEMO1
PUR1	FAM73A
STAT6	C1S
ETS2	PARK2
PUR1	MIR298
NF-kappaB(p50)	GATAD2A
TEF-1	TNFRSF12A
ATF	PPP1R16B
GR	KLRD1
SOX10	CINP
NURR1	KERA
YY1	LGALS7B
E2A	STK17A
Nrf-1	C2orf3
YY1	ROGDI
NeuroD	OS9
TEF-1	RSG1
GR	CORO2B
E2A	DDIT4L
STAT3	DAPK1
NURR1	GIGYF1
MAFA	PLCE1
STAT6	IL11
USF1	PDX1
STAT4	MIR3162
AP-1	LOC286238
STAT6	ACPP
LBP-1	ATXN7L1
GR	TMEM56-RWDD3
LBP-1	ATXN7L2
HMGIY	PPP3R1
GR	FAM193A
USF	C19orf24
YY1	RPS15A
HNF4	SPINT1
MEF-2	OTUD4
HMGIY	PPP3R2
PUR1	MIR29C
HNF4	SPINT2
NeuroD	CC2D1A
STAT4	MIR3165
TEF-1	OTOP1
STAT6	TMEM48
HNF4	SPINT3
YY1	ZNF470
STAT3	GATAD2A
TEF-1	OTOP2
GABP-alpha	PDCD10
NeuroD	CC2D1B
E2A	SCIN
TEF-1	OTOP3
MAFA	MIR3170
GABP-alpha	PDCD11
E2A	B3GNT7
GABP	PARL
TCF-4	SMOC2
STAT6	NUAK2
NFAT2	CCHCR1
E2A	B3GNT8
SMAD3	CELF1
SOX10	SNX17
PXR(PXR:RXR)	CNTD2
STAT6	IL18
NFAT2	INHBA
NURR1	DTL
GABP-alpha	RNU86
SOX10	SNX19
YY1	ZNF474
AREB6	SAP25
YY1	DUOX1
NURR1	FEZ1
NURR1	C10orf105
HNF4	PTRH2
YY1	DUOX2
RelB:p52(NF-kappaB)	AFF2
TCF-4	CADM2
YY1	NRP1
AP-2rep	CXorf36
NeuroD	WRNIP1
NFAT2	DRD3
YY1	NRP2
STAT3	WHSC1L1
Nrf-1	GPX4
SOX4	PAPD4
Myc	SASH3
SOX10	NNAT
HMGIY	DHRS12
LBP-1	ACTN3
HMGIY	TPI1P3
NeuroD	OSM
HMGIY	DHRS13
alpha-CP1	CCNB1IP1
NF-Y	TRIM68
STAT4	TTF2
STAT3	DSCAML1
YY1	HIPK2
YY1	SP110
PU.1	CHMP2A
YY1	HIPK3
HMGIY	NDST1
PXR(PXR:RXR)	EPB41L1
YY1	HIPK4
ATF1	UNK
ETS2	ABHD12B
NeuroD	TIFA
CTCF	AJAP1
ETS2	C14orf180
PUR1	CD248
NeuroD	MTUS1
NF-kappaB(p50)	BRD2
Elk-1	KTI12
HEB	CD72
HMGIY	NDST4
SOX10	ZEB1
E2A	MB
ETS2	BPESC1
STAT3	YKT6
STAT5A	PLIN1
YY1	DLAT
USF	PRDX1
ETS2	C14orf184
FXR	TRIM3
TEF-1	GUCY1A2
MAFA	AIF1L
AP-1	C10orf47
NRSF	HOXD12
STAT4	COPS8
HNF4	PSMF1
USF	PRDX4
STAT5A	DGKK
Nrf-1	KIF22
Myf	MIR30E
FXR	TRIM7
PU.1	PBX1
NeuroD	NDUFA4
SOX10	DLEU2L
USF1	IMP4
NeuroD	NDUFA5
CTF1	ACOT11
NeuroD	NDUFA6
PU.1	PBX4
ATF2	FAM174A
USF	HOXA11
ETS2	ZNF444
STAT4	SOD2
MAFA	PSMB1
TEF-1	SULF1
TEF-1	SULF2
NF-Y	ARHGAP11A
HNF4	BANF1
MAFA	LOC100131635
STAT4	SOD3
ETS2	OLFM1
ETS2	ZNF445
HNF4	BANF2
ETS2	ZNF446
NF-Y	ARHGAP11B
NeuroD	NDUFA9
NURR1	MAT1A
STAT6	NPAS1
AP-1	DNAJC10
Octamer	YPEL3
YY1	HIGD2B
AP-1	DNAJC11
SOX10	FAM86A
HNF4	SSPN
ETS2	ZNF449
HNF4	SNAP25
GABP	KAZN
HNF4	PSMD11
HNF4	FLYWCH2
AP-1	DNAJC14
SOX10	STX5
HNF4	PSMD12
TEF-1	ATP12A
AP-2rep	C11orf9
SOX10	STX6
MAFA	PSMB9
GABP-alpha	IDH3B
MEF2A	ITGA7
HNF4	PSMD13
NeuroD	NFRKB
HEB	PHLDB1
HNF4	SNAP29
YY1	SETBP1
YY1	TM7SF2
REL	EFNA5
YY1	IRX1
Myc	DDX5
SOX4	RNASE1
YY1	TM7SF3
HEB	PRSS23
SOX10	PSD
Nrf-1	KIF2C
YY1	IRX2
YY1	IRX3
YY1	TM7SF4
MAX	DUSP23
PU.1	FOLR2
FXR	LOC285847
YY1	IRX4
YY1	IRX5
MEF-2	SRL
NeuroD	PNPO
PU.1	FOLR4
MAFA	SPATS2L
STAT6	SCN5A
STAT6	MOGAT1
RFX1	OPRL1
PU.1	MVP
HNF4	CHGA
USF	PLS1
SOX10	VAC14
STAT6	NR2E1
TAL1	MIR4318
NeuroD	ZNF521
YY1	GGH
GR	UNC13B
RORalpha2	CNTN6
ETS2	C18orf34
NeuroD	ZNF524
NF-Y	FOPNL
PU.1	LAD1
LEF1	ZNF438
TEF-1	IGFN1
Oct-2	TMSB4X
YY1	GGN
ATF2	STXBP3
HNF4	CALCA
ATF3	ZNF184
SF1	BTG2
HNF4	DHRS7C
HNF4	CALCB
YY1	AHSA1
E2A	FYCO1
STAT4	OR2AT4
Elk-1	FAM100A
STAT3	SPTBN2
MAX	C9orf156
SOX4	TXNDC3
FXR	CYP2U1
RAR	TMPPE
TEF-1	TMEM190
AP-2rep	PRKACA
AR	CAPZA2
STAT3	SPTBN4
STAT4	NOL4
GABP-alpha	C2orf42
STAT3	SPTBN5
TEF-1	TMEM192
NeuroD	DYNLL1
LBP-1	SNORD37
NeuroD	DYNLL2
SOX4	RNASEK
FXR	PEX7
TEF-1	LHFPL1
SOX4	RNLS
SOX4	RNASEL
TEF-1	LHFPL2
NeuroD	SLC46A1
MAFA	TTK
E2A	NDUFAF4
TEF-1	TMEM196
AP-2rep	BSPRY
TEF-1	LHFPL3
AP-4	MIR150
STAT6	INTS2
NeuroD	SLC46A2
TEF-1	LHFPL4
Lyf-1	PLEKHG5
MAFA	WDR81
GABP-alpha	C2orf49
TEF-1	TMEM198
STAT6	INTS3
TEF-1	ODAM
TEF-1	LHFPL5
TEF-1	TMEM199
MAFA	AKT1
ETS2	MKX
MAFA	TTN
alpha-CP1	KIAA1841
MAFA	WDR83
MAFA	AKT2
YY1	KAZALD1
GLI2	SOX18
STAT6	INTS6
FXR	MIR572
STAT3	EFNA1
MAFA	WDR85
FXR	MIR573
STAT6	CHRNB4
FXR	MIR574
STAT3	EFNA3
MAFA	WDR87
YY1	TTC7B
STAT3	EFNA4
STAT6	INTS9
Tel-2	FCGR3A
Myc	TLCD1
deltaEF1	DHRS7
YY1	LOC285205
AP-2rep	PNMA3
TCF4	BCL2L10
MAFA	WDR89
ETS2	TEP1
FXR	MIR577
Mox1	HEXIM2
AP-2rep	PNMA5
NFAT2	KPNA4
STAT6	KREMEN1
HEB	TTC9
ATF1	MRPS36
NF-kappaB	SUN2
IPF1	CUX1
TEF-1	DNAH1
NeuroD	PRUNE2
FRA1	BCL3
P50:RELA-P65	BCL9L
alpha-CP1	LPXN
FXR	SFTPB
YY1	PEX10
TEF-1	DNAH3
ETS2	LOC100286844
SOX10	PER3
AP-4	WNT2B
c-Ets-1p54	C17orf86
LEF1	MLL2
TEF-1	DNAH5
TCF-4	HAUS6
FRA1	BCL6
GABP	MEA1
TEF-1	DNAH6
AP-2rep	GOLGA7B
Elk-1	CPEB1
TEF-1	DNAH7
NF-Y	ATAD2
TEF-1	DNAH8
SOX10	MANBAL
TEF-1	NUP88
TEF-1	DNAH9
TEF-1	UQCRC1
LBP-1	ZFP82
Elk-1	CPEB4
ERR2(ESRRB)	OXT
SOX10	PDE8A
YY1	LARS2
GABP-alpha	HOXD10
STAT6	TMEM51
USF	THOP1
COUP	DIRAS1
STAT6	TMEM52
TEF-1	PLCXD2
CTF1	MTUS1
HB9	GDF2
STAT6	FHOD1
SOX10	SNX20
TEF-1	PLCXD3
HMGIY	CASR
SOX10	SNX21
HNF4	PSENEN
NF-Y	MBOAT1
LBP-1	ELMO2
SOX10	SNX22
GABP	TTC23L
HMGIY	CAST
FXR	TRMT2A
STAT4	MIR3175
SOX10	SLC8A1
GABP	AGL
STAT6	LARGE
SOX10	SLC8A2
NURR1	VTI1B
STAT6	IL25
TEF-1	CMA1
GR	KMO
SRF	MAT2A
NeuroD	OTC
ETS2	TEKT1
MAFA	MIR3183
SOX10	SNX29
PU.1	GALC
AP-2rep	CXorf41
EAR2	MAP7D1
NURR1	C10orf113
YY1	ZNF484
MAFA	GLOD4
REL	CLDN5
Nrf-1	PHACTR4
MAFA	GLOD5
ATF4	FAM117A
ETS2	LOC283404
LTF	GRIN2B
AP-2rep	CDC25B
FXR	TSC2
Nrf-1	MYST2
ETS2	TEPP
TEF-1	SRC
NeuroD	GMDS
STAT3	ADAL
TEF-1	MRPL42P5
SOX10	OR5L2
SOX10	EFCAB4B
PU.1	KLF10
USF1	HMGN2
TEF-1	SRF
LBP-1	CERK
IRF	BST2
PU.1	KLF12
E47	FOXRED2
Octamer	MDGA2
GR	AHCTF1
Staf	ZNF428
COUP-TF	CRABP2
TEF-1	SRI
NeuroD	OTP
PU.1	KLF15
MAFA	AGBL3
TEF-1	SRL
PU.1	KLF17
STAT6	SRA1
MAFA	SNORD38A
STAT3	TAOK2
MAFA	SNORD38B
TEF-1	SRM
YY1	APOL6
TEF-1	GUCY1B2
GATA-1	FLT1
STAT3	TAOK3
NeuroD	CRNN
Ebox	KLHDC7A
LBP-1	TOPBP1
TEF-1	GUCY1B3
RORA_1	FBXW4
HNF4	PSMG1
STAT6	CEP152
AP-1	C10orf58
Myc	RXRB
ETS2	ZNF585A
HNF4	PSMG2
NeuroD	NDUFB1
TEF-1	SRR
NFAT2	UBXN1
NeuroD	NDUFB2
GR	RFESD
USF	EVI5L
PU.1	REG1B
TEF-1	PID1
AP-4	C2orf82
SOX4	ANAPC4
PUR1	SPAG5
ERR2(ESRRB)	TFRC
NeuroD	NDUFB6
NeuroD	NDUFB7
YY1	GH2
PUR1	SPAG7
MAFA	PSMC1
NeuroD	EIF4E3
ETS2	ZNF454
MAFA	CBARA1
FXR	CKLF-CMTM1
NeuroD	NDUFB8
YY1	SEPT11
MAFA	PSMC2
NUR77	GOLGB1
NURR1	TXNL1
TCF-4	SDF2
YY1	SEPT12
NeuroD	NDUFB9
NURR1	MAT2A
TEF-1	LPAR3
AP-4	C2orf88
SMAD	DGKZ
SOX9	CD47
TEF-1	LPAR4
TEF-1	LPAR5
LRF	SLC16A10
HMGIY	IFNG
TEF-1	CMAS
FXR	ARF5
Nrf-1	RAB10
NFE2L2	TMEM209
ETS2	ADSS
ATF2	KIAA0408
LEF1	HLTF
PU.1	BATF
MAFA	CDHR3
Nrf-1	KIF3A
STAT6	PQBP1
SOX10	PLAC9
PU.1	REG1P
Nrf-1	RAB14
YY1	PCCA
STAT6	TDO2
LBP-1	DTX3L
NFAT2	ENPP2
GLI2	NTN1
USF1	ESRRA
TAL1	C6orf142
STAT3	CLDN5
STAT4	NINJ2
P50:P50	CCDC82
STAT4	ZSWIM1
Tel-2	ENO3
GLI2	NTN3
Nrf-1	RAB18
NUR77	FLYWCH1
LRF	IGF2AS
LRF	GPT
NFAT2	ENPP6
STAT3	CLDN8
LBP-1	BSDC1
SOX10	GDF5
PU.1	RNASE4
N-Myc	KIAA1539
CART1	PARS2
TEF-1	TMPRSS3
MAFA	TLR3
TFE	SCARNA10
TEF-1	TMPRSS4
TEF-1	TMPRSS5
AP-2rep	FBLIM1
MAFA	TLR5
TEF-1	TMPRSS6
STAT6	NR2F2
YY1	RNU86
p53decamer	SSBP4
NeuroD	ZNF532
TEF-1	TMPRSS7
LEF1	FBP2
PU.1	PABPC5
Bach1	SNORD98
MAFA	TLR8
GR	SLC17A4
NFAT2	HAND2
ETS2	C18orf45
CREB	MYH10
PNR	NAE1
Nrf-1	RAB1B
MAFA	TLR9
Myf	NR4A3
c-Myc:Max	PLA2G6
GR	SLC17A6
ETS2	LIFR
ETS2	GIN1
YY1	SLURP1
AP-1	MIR4254
NeuroD	ZNF536
LBP-1	MECR
HNF4	PDK2
GR	FAM24A
AREB6	SLC16A10
FXR	CCNYL1
GR	SLC17A9
Pax-6	MIR1282
NF-Y	SPAG8
NRSF	POU4F2
TAL1::TCF3	GPR183
LBP-1	SHANK2
HNF3A	CXorf41
LBP-1	SHANK3
STAT4	OTOA
ETS2	MLL
MAFA	TUB
FLI1	FAM65A
HMGIY	DDHD1
USF	NUDC
AP-4	KCNS3
YY1	GHR
LBP-1	LOC338758
ETS2	MLN
HMGIY	DDHD2
c-Ets-1	CLDN2
LBP-1	SNORD43
SMAD	MAP2K7
STAT4	BEX5
MAFA	CCDC102B
SOX4	FDXR
USF1	STAG3
alpha-CP1	DAZL
STAT4	OTOF
HEB	MIR569
LBP-1	SNORD46
FLI1	C2orf42
NURR1	DHDDS
E2A	EBF4
STAT5B(homodimer)	ACACB
E2A	C1orf173
LBP-1	SNORD48
YY1	GNRH1
YY1	GNRH2
MAFA	WDR90
Ebox	PLEKHA6
HNF4	SDCBP2
SOX10	STYX
NURR1	PELO
PU.1	TXNDC9
TEF-1	OR2Y1
ETS2	MLX
FXR	MIR580
LBP-1	SNORD4A
STAT6	NHEJ1
STAT4	OTOS
USF	PLTP
NeuroD	CYB5R2
NeuroD	CYB5R3
HNF1	GLTPD2
STAT3	TPI1P2
ATF3	SIDT2
SOX10	PES1
SOX10	COX4I1
ETS2	LINGO1
TEF-1	DNAI1
HMGIY	E2F3
alpha-CP1	MCM3AP-AS1
TEF-1	DNAI2
STAT6	ACRC
ETS2	LINGO2
TCF-4	SNTG1
ETS2	LINGO3
PU.1	HAGHL
YY1	IDH3A
ETS2	PARM1
